TIME,Tank Level,S1 Input PT,S1 Output PT,S1 Output Flow,Temperature
7/15/2020 0:02,7.5,5,51.08,270.32,55.54
7/15/2020 0:03,7.5,5,51.08,270.32,55.54
7/15/2020 0:03,7.5,5,51.08,270.38,55.54
7/15/2020 0:03,7.5,5,51.08,270.55,55.54
7/15/2020 0:03,7.5,5,51.08,270.56,55.54
7/15/2020 0:03,7.5,5,51.08,270.56,55.54
7/15/2020 0:03,7.5,5,51.1,270.63,55.55
7/15/2020 0:03,7.5,5,55,300,57.5
7/15/2020 0:03,7.5,5,60,367,60
7/15/2020 0:03,7.5,5,72.13,376,66.065
7/15/2020 0:03,7.5,5,85,424.185,72.5
7/15/2020 0:03,7.5,5,90.1,462.496,75.05
7/15/2020 0:03,7.5,5,87.21,369,73.605
7/15/2020 0:04,7.5,5,65,275.504,62.5
7/15/2020 0:04,7.5,5,59,268,59.5
7/15/2020 0:04,7.5,5,51.1,288.512,55.55
7/15/2020 0:04,7.505,4.99,51.1,270.29,55.55
7/15/2020 0:04,7.505,4.99,51.1,270.39,55.55
7/15/2020 0:04,7.5,5,51.08,269.91,55.54
7/15/2020 0:04,7.5,5,51.08,270.44,55.54
7/15/2020 0:04,7.5,5,51.08,270.44,55.54
7/15/2020 0:04,7.5,5,51.08,270.01,55.54
7/15/2020 0:04,7.5,5,51.08,270.65,55.54
7/15/2020 0:50,7.49,5.02,51.05,270.04,55.525
7/15/2020 0:50,7.49,5.02,51.05,270.39,55.525
7/15/2020 0:50,7.49,5.02,51.05,270.43,55.525
7/15/2020 0:50,7.49,5.02,51.05,270.78,55.525
7/15/2020 0:50,7.495,5.01,51.05,270.31,55.525
7/15/2020 0:50,7.495,5.01,51.05,270.76,55.525
7/15/2020 0:50,7.495,5.01,51.05,270.27,55.525
7/15/2020 0:50,6,5.01,51.05,270.27,55.525
7/15/2020 0:50,6,5.01,51.05,269.93,55.525
7/15/2020 0:50,6,5.01,51.05,270.42,55.525
7/15/2020 0:50,6,5.01,51.05,270.46,55.525
7/15/2020 0:50,6,5.01,51.05,270.62,55.525
7/15/2020 0:51,5.503333333,5.01,51.05,270.62,55.525
7/15/2020 0:51,5.27730303,2.01,51.04,270.6,55.52
7/15/2020 0:51,5.051272727,1.9,51.04,270.55,55.52
7/15/2020 0:51,4.825242424,1.79,51.04,270.55,55.52
